Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides pHis3_01	Peptides pHis3_02	Peptides pHis3_03	Peptides SMC1_01	Peptides SMC1_02	Peptides SMC1_03	Razor + unique peptides pHis3_01	Razor + unique peptides pHis3_02	Razor + unique peptides pHis3_03	Razor + unique peptides SMC1_01	Razor + unique peptides SMC1_02	Razor + unique peptides SMC1_03	Unique peptides pHis3_01	Unique peptides pHis3_02	Unique peptides pHis3_03	Unique peptides SMC1_01	Unique peptides SMC1_02	Unique peptides SMC1_03	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type pHis3_01	Identification type pHis3_02	Identification type pHis3_03	Identification type SMC1_01	Identification type SMC1_02	Identification type SMC1_03	Sequence coverage pHis3_01 [%]	Sequence coverage pHis3_02 [%]	Sequence coverage pHis3_03 [%]	Sequence coverage SMC1_01 [%]	Sequence coverage SMC1_02 [%]	Sequence coverage SMC1_03 [%]	Intensity	Intensity pHis3_01	Intensity pHis3_02	Intensity pHis3_03	Intensity SMC1_01	Intensity SMC1_02	Intensity SMC1_03	LFQ intensity pHis3_01	LFQ intensity pHis3_02	LFQ intensity pHis3_03	LFQ intensity SMC1_01	LFQ intensity SMC1_02	LFQ intensity SMC1_03	MS/MS count pHis3_01	MS/MS count pHis3_02	MS/MS count pHis3_03	MS/MS count SMC1_01	MS/MS count SMC1_02	MS/MS count SMC1_03	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P00761	CON__P00761	5	5	5				1	5	5	5	4	4	5	4	3	4	4	4	5	4	3	4	4	4	5	4	3	4	32.9	32.9	32.9	24.409	231	231	0	113.36	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	29.4	29.4	32.9	28.6	25.1	29.4	3457000000	406450000	708470000	1308000000	284520000	310420000	439120000	397870000	1142100000	264610000	596640000	1050600000	213660000	7	7	6	6	5	6	37			+	0	4236;5865;6809;8869;11001	True;True;True;True;True	4409;4410;6111;7093;9303;11527	22095;22096;22097;22098;22099;22100;22101;22102;22103;22104;22105;22106;22107;22108;22109;22110;22111;22112;22113;30787;30788;30789;30790;30791;30792;30793;30794;30795;30796;30797;30798;35564;35565;35566;35567;46305;46306;46307;46308;46309;46310;46311;46312;46313;46314;57965;57966	16287;16288;16289;16290;16291;16292;16293;16294;16295;16296;16297;16298;16299;22701;22702;22703;22704;22705;22706;22707;22708;22709;22710;22711;26254;26255;26256;26257;34196;34197;34198;34199;34200;34201;34202;42821;42822	16289;22702;26257;34196;42821	0	94
CON__P02533;CON__A2A4G1;CON__Q148H6;CON__Q9Z2K1;CON__Q3ZAW8;CON__Q7Z3Y7;CON__Q7Z3Z0;CON__Q7Z3Y8;CON__Q7Z3Y9	CON__P02533;CON__A2A4G1	6;4;2;2;2;2;1;1;1	1;0;0;0;0;0;0;0;0	1;0;0;0;0;0;0;0;0			;	9	6	1	1	3	2	1	1	1	2	0	0	0	0	0	1	0	0	0	0	0	1	10.8	3.2	3.2	51.621	472	472;456;464;469;474;486;450;459;468	0	10.653	By matching	By matching	By matching	By matching	By matching	By MS/MS	5.3	3.8	1.5	1.5	1.5	5.5	6027700	0	0	0	0	0	6027700	0	0	0	0	0	4539600	0	0	0	0	0	1	1			+	1	707;4752;5512;5628;5630;11761	True;False;False;False;False;False	748;4953;5750;5869;5871;12314	3903;24738;24739;29091;29685;29686;29687;29688;29690;62184	2942;18242;18243;21404;21856;21858;45978	2942;18243;21404;21856;21858;45978		
CON__P02538	CON__P02538	7	2	1				1	7	2	1	1	4	0	2	1	7	0	1	0	0	0	2	0	0	0	0	0	1	16.3	4.8	1.8	60.044	564	564	0	7.1764	By matching	By MS/MS		By matching	By matching	By MS/MS	2.1	8.5	0	3.7	1.6	16.3	51320000	0	3404200	0	0	0	47916000	0	9512500	0	0	0	32471000	0	1	0	0	0	2	3			+	2	345;761;3340;4701;7749;9081;9487	True;False;False;False;False;True;False	363;803;3462;4901;8136;9527;9949	1994;1995;4213;4214;4215;4216;17389;24505;40676;40677;40678;40679;40680;40681;47358;49882;49883	1527;1528;3178;3179;3180;12804;18089;30032;30033;30034;30035;30036;34977;36753;36754	1527;3179;12804;18089;30036;34977;36754		
CON__P04259	CON__P04259	7	5	1				1	7	5	1	1	3	0	2	1	7	0	1	0	0	0	5	0	0	0	0	0	1	16.3	12.6	3	59.998	564	564	0	26.275	By matching	By MS/MS		By matching	By matching	By MS/MS	2.1	5.5	0	3.7	1.6	16.3	77999000	0	1364300	0	0	0	76635000	0	0	0	0	0	57715000	0	1	0	0	0	5	6			+	3	761;875;3340;4701;7749;9080;9487	False;True;True;True;False;True;True	803;920;3462;4901;8136;9526;9949	4213;4214;4215;4216;4865;17389;24505;40676;40677;40678;40679;40680;40681;47357;49882;49883	3178;3179;3180;3651;12804;18089;30032;30033;30034;30035;30036;34976;36753;36754	3179;3651;12804;18089;30036;34976;36754		
CON__P04264;CON__Q9R0H5;CON__Q6NXH9;CON__Q8BGZ7;CON__P50446;CON__Q6IFZ6;CON__Q7Z794;CON__Q922U2;CON__Q5XQN5	CON__P04264	15;1;1;1;1;1;1;1;1	15;1;1;1;1;1;1;1;1	11;0;0;1;1;0;0;1;1				9	15	15	11	5	12	0	12	13	6	5	12	0	12	13	6	3	10	0	10	9	3	26.7	26.7	21.3	66.017	644	644;524;539;551;553;572;578;580;601	0	132.01	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	9	23.6	0	23.6	23.1	12.4	460160000	57778000	122630000	0	105580000	126380000	47796000	112290000	170940000	0	135910000	330660000	56340000	6	10	0	10	12	5	43			+	4	123;2459;2675;2781;2982;9229;9255;9326;9432;9433;9477;10501;10595;11945;12114	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	128;2546;2771;2878;3089;9680;9707;9781;9893;9894;9939;11005;11106;12511;12684	677;678;679;12892;12893;12894;12895;12896;13932;13933;13934;14544;15538;15539;15540;15541;15542;15543;48433;48434;48435;48568;48569;48570;48969;48970;48971;48972;48973;48974;48975;48976;48977;48978;49559;49560;49561;49562;49563;49564;49565;49823;49824;49825;55147;55583;55584;55585;55586;63316;63317;64137;64138;64139;64140	517;9432;9433;9434;9435;9436;10211;10212;10674;11450;11451;11452;35667;35668;35669;35766;36071;36072;36073;36074;36075;36076;36077;36078;36079;36507;36508;36509;36510;36511;36512;36710;40710;41024;41025;41026;41027;46840;46841;46842;47447;47448;47449;47450	517;9435;10211;10674;11450;35669;35766;36075;36508;36512;36710;40710;41026;46842;47450		
CON__P08779	CON__P08779	8	4	3				1	8	4	3	3	3	1	1	1	3	0	2	0	0	0	3	0	1	0	0	0	2	16.5	11.2	8.9	51.267	473	473	0	18.91	By matching	By MS/MS	By matching	By matching	By matching	By MS/MS	5.3	5.7	1.5	1.5	1.5	9.3	39317000	0	6184600	0	0	0	33132000	0	12892000	0	0	0	22774000	0	2	0	0	0	3	5			+	5	706;1079;4752;5512;5628;5630;10149;11761	True;True;True;False;False;False;True;False	747;1129;4953;5750;5869;5871;10643;12314	3902;6006;24738;24739;29091;29685;29686;29687;29688;29690;53312;62184	2941;4496;18242;18243;21404;21856;21858;39334;45978	2941;4496;18243;21404;21856;21858;39334;45978	1	239
CON__P13645;CON__P02535-1	CON__P13645	9;3	8;3	5;1				2	9	8	5	4	6	1	6	4	1	4	5	0	5	3	1	1	5	0	5	3	1	20.6	20.6	16.4	59.51	593	593;570	0	34.78	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	6.2	17.5	1.2	17.5	11	3.2	97066000	10246000	13794000	0	53292000	15355000	4379000	24193000	31327000	0	41692000	53391000	11762000	4	2	0	2	3	0	11			+	6	478;3352;3366;5512;5628;5630;8097;9672;11761	True;True;True;True;False;True;True;True;True	506;3475;3489;5750;5869;5871;8507;10145;12314	2717;2718;2719;17468;17469;17470;17471;17518;17519;29091;29685;29686;29687;29688;29690;42536;42537;42538;50784;50785;50786;62184	2070;2071;12867;12868;12904;21404;21856;21858;31417;31418;37451;45978	2071;12868;12904;21404;21856;21858;31417;37451;45978	2;3	306;321
CON__P35527	CON__P35527	14	14	13				1	14	14	13	6	10	1	8	13	2	6	10	1	8	13	2	6	9	0	7	12	2	30.7	30.7	30.7	62.129	623	623	0	59.361	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	10.3	18.1	1.1	16.5	29.5	5.8	289240000	50524000	62864000	1860800	52770000	111590000	9629100	59717000	85133000	2483100	44154000	320650000	5158800	6	6	0	5	16	0	33			+	7	2678;2983;3004;4270;5628;5629;7365;8125;8232;8278;9082;9871;10496;10517	True;True;True;True;True;True;True;True;True;True;True;True;True;True	2774;3090;3112;4445;4446;5869;5870;7723;8536;8646;8695;9528;10351;10352;11000;11021;11022	13947;13948;13949;13950;13951;15544;15631;15632;15633;15634;15635;15636;22265;22266;22267;29685;29686;29687;29688;29689;38666;42673;42674;43144;43145;43323;43324;43325;43326;47359;47360;47361;51807;51808;51809;51810;51811;55098;55099;55100;55101;55214;55215;55216;55217;55218	10221;10222;10223;10224;11453;11518;11519;11520;16400;16401;21856;21857;28557;31508;31509;31867;31868;32001;32002;32003;34978;34979;38210;38211;38212;38213;38214;40668;40669;40670;40759;40760;40761;40762	10222;11453;11518;16400;21856;21857;28557;31509;31868;32002;34978;38213;40670;40761	4;5;6	157;245;326
CON__P35908v2;CON__P35908;CON__Q8VED5;CON__Q5XKE5;CON__O95678;CON__P19013;CON__Q3TTY5	CON__P35908v2;CON__P35908	10;10;1;1;1;1;1	9;9;1;1;1;1;1	7;7;0;0;0;0;1			;	7	10	9	7	3	8	0	10	7	3	2	7	0	9	6	2	1	5	0	7	5	0	20.7	18.8	15.5	65.432	639	639;645;531;535;551;594;707	0	42.416	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	5.2	18	0	20.7	14.1	5.2	143120000	17823000	28969000	0	65640000	13787000	16899000	22641000	41150000	0	104100000	30575000	22652000	2	4	0	9	2	2	19			+	8	761;2459;2966;3003;3370;3579;7749;8873;9475;9896	True;False;True;True;True;True;True;True;True;True	803;2546;3073;3111;3493;3718;8136;9308;9937;10377	4213;4214;4215;4216;12892;12893;12894;12895;12896;15463;15464;15465;15629;15630;17533;17534;17535;18690;18691;18692;40676;40677;40678;40679;40680;40681;46342;49813;49814;49815;49816;51939;51940	3178;3179;3180;9432;9433;9434;9435;9436;11387;11388;11389;11517;12912;13782;30032;30033;30034;30035;30036;34227;36700;36701;36702;36703;38303	3179;9435;11389;11517;12912;13782;30036;34227;36701;38303		
CON__Q3MHH8	CON__Q3MHH8	1	1	1				1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	2	2	2	57.407	511	511	0.0015279	2.4263	By MS/MS	By matching		By MS/MS	By MS/MS	By MS/MS	2	2	0	2	2	2	15877000	6108300	1703900	0	2241400	1409000	4414600	6108300	2951800	0	3555300	3706700	3324700	1	0	0	1	1	1	4			+	9	10737	True	11249	56278;56279;56280;56281;56282	41558;41559;41560;41561	41560		
